Maggi_Packets,Masala_Sachets,Water_ml,Onions_g,ChilliPowder_tbsp,Turmeric_tbsp,Salt_tbsp,CookingTime_min,TasteScore
1,1.5,230,35,0.25,0.13,0.24,5,98
1,1.8,235,36,0.27,0.14,0.26,5,97
1,1.2,240,34,0.24,0.12,0.23,4,96
1,1.6,228,37,0.26,0.13,0.25,5,95
1,1.0,245,33,0.22,0.11,0.22,4,93
1,1.4,250,35,0.25,0.12,0.24,4,92
1,0.8,255,32,0.20,0.10,0.20,3,88
1,1.3,238,36,0.45,0.23,0.42,5,85
1,0.6,265,31,0.18,0.09,0.18,3,82
1,2.2,270,38,0.52,0.26,0.48,6,78
2,3.0,460,68,0.50,0.25,0.48,6,98
2,3.6,465,70,0.54,0.27,0.52,7,97
2,2.4,470,66,0.48,0.24,0.46,6,96
2,3.2,455,69,0.52,0.26,0.50,6,95
2,2.0,480,65,0.44,0.22,0.42,5,93
2,2.8,475,67,0.50,0.25,0.48,6,92
2,1.6,490,64,0.40,0.20,0.38,5,88
2,2.6,468,70,0.88,0.44,0.82,7,84
2,1.2,510,62,0.36,0.18,0.34,4,80
2,4.4,520,73,0.96,0.48,0.90,8,76
3,4.5,685,98,0.75,0.38,0.72,8,98
3,5.4,690,102,0.81,0.41,0.78,9,97
3,3.6,695,95,0.72,0.36,0.69,7,96
3,4.8,680,100,0.78,0.39,0.75,8,95
3,3.0,705,93,0.66,0.33,0.63,7,93
3,4.2,700,97,0.75,0.38,0.72,8,91
3,2.4,720,90,0.60,0.30,0.57,6,87
3,3.8,693,101,1.32,0.66,1.26,9,83
3,1.8,740,88,0.54,0.27,0.51,5,79
3,6.6,750,106,1.44,0.72,1.38,10,75
4,6.0,910,128,1.00,0.50,0.96,10,98
4,7.2,915,132,1.08,0.54,1.04,11,97
4,4.8,920,125,0.96,0.48,0.92,9,96
4,6.4,905,130,1.04,0.52,1.00,10,95
4,4.0,935,122,0.88,0.44,0.84,9,93
4,5.6,930,127,1.00,0.50,0.96,10,91
4,3.2,950,120,0.80,0.40,0.76,8,87
4,5.0,918,129,1.76,0.88,1.68,11,82
4,2.4,970,118,0.72,0.36,0.68,7,78
4,8.8,980,138,1.92,0.96,1.84,12,74
5,7.5,1135,158,1.25,0.63,1.20,12,98
5,9.0,1140,162,1.35,0.68,1.30,13,97
5,6.0,1145,155,1.20,0.60,1.15,11,96
5,8.0,1130,160,1.30,0.65,1.25,12,95
5,5.0,1160,152,1.10,0.55,1.05,11,93
5,7.0,1155,157,1.25,0.63,1.20,12,91
5,4.0,1180,150,1.00,0.50,0.95,10,87
5,6.5,1143,161,2.20,1.10,2.10,13,81
5,3.0,1200,147,0.90,0.45,0.85,9,77
5,11.0,1210,168,2.40,1.20,2.30,14,73
6,9.0,1360,188,1.50,0.75,1.44,14,98
6,10.8,1365,192,1.62,0.81,1.56,15,97
6,7.2,1370,185,1.44,0.72,1.38,13,96
6,9.6,1355,190,1.56,0.78,1.50,14,95
